p_set,c_set,P_FWE_cl,q_FDR_cl,K_E,P_uncorr_cl,P_FWE_pl,q_FDR_pl,T,z,P_uncorr_pl,X,Y,Z
0.999,18,0,0,4131,0,0,0,12.55,Inf,0,-32,-6,60
NaN,NaN,0,0,8976,0,0,0,12.12,Inf,0,-22,-64,58
NaN,NaN,0,0,2109,0,0,0,10.59,Inf,0,32,-4,60
NaN,NaN,0.929,0.232,199,0.077,0.004,0,5.25,5.15,0,-30,20,6
NaN,NaN,0.045,0.006,826,0.001,0.064,0.005,4.61,4.54,0,-46,-52,-10
NaN,NaN,0.96,0.241,177,0.094,0.081,0.006,4.54,4.47,0,28,-62,-24
NaN,NaN,0.283,0.035,485,0.01,0.094,0.006,4.5,4.44,0,40,-64,6
NaN,NaN,0.999,0.438,95,0.21,0.385,0.027,4.06,4.01,0,10,-72,-24
NaN,NaN,1,0.44,73,0.27,0.424,0.029,4.02,3.98,0,-6,-26,-4
NaN,NaN,0.999,0.438,91,0.219,0.974,0.154,3.4,3.37,0,-18,-4,6
NaN,NaN,1,0.44,66,0.294,0.992,0.196,3.3,3.27,0.001,14,4,6
NaN,NaN,1,0.505,44,0.392,0.993,0.197,3.29,3.26,0.001,-6,-72,-24
NaN,NaN,1,0.505,46,0.382,0.996,0.207,3.24,3.22,0.001,32,22,6
NaN,NaN,1,0.44,69,0.283,0.997,0.216,3.22,3.19,0.001,-10,-18,10
NaN,NaN,1,0.678,21,0.565,1,0.484,2.81,2.79,0.003,6,-26,-6
NaN,NaN,1,0.928,4,0.828,1,0.742,2.55,2.54,0.006,14,-22,14
NaN,NaN,1,0.928,1,0.928,1,0.84,2.47,2.45,0.007,44,36,36
NaN,NaN,1,0.928,2,0.888,1,0.892,2.41,2.4,0.008,-14,-96,14
